,none,random,manifold,jem,jemo
abalone,0.2775,0.2512,0.2512,0.301,0.244
arcene,0.8,0.76,0.72,0.56,0.57
arrhythmia,0.6087,0.6522,0.7609,,
iris,0.9333,0.9333,0.9333,0.9329999999999999,0.9329999999999999
phishing,0.9792,0.9747,0.9711,0.9420000000000001,0.9329999999999999
moon,0.997,0.997,1.0,,
sensorless_drive,0.986,0.9745,0.9906,0.095,0.09300000000000001
segment,0.8529,0.8243,0.8543,0.542,0.449
htru2,0.9754,0.9765,0.9687,,
heart,0.5806,0.4194,0.5806,,
mushroom,1.0,1.0,0.9988,0.998,0.9990000000000001
wine,0.5231,0.5031,0.5292,0.446,0.445
